type,title,country,date_added,release_year,rating,listed_in,Platform
Movie,Uma Maheswara Ugra Roopasya,India,30-07-2020,2020.0,TV-MA,"Comedies, Dramas, Independent Movies",Netflix
TV Show,Unlucky Ploy,,30-07-2020,2020.0,TV-MA,"International TV Shows, Romantic TV Shows, TV Comedies",Netflix
Movie,It's Her Day,Nigeria,29-07-2020,2016.0,TV-MA,"Comedies, International Movies, Romantic Movies",Netflix
Movie,Redemption,Mozambique,29-07-2020,2019.0,TV-MA,"Dramas, International Movies, Thrillers",Netflix
Movie,Shine Your Eyes,"Brazil, France",29-07-2020,2020.0,TV-MA,"Dramas, Independent Movies, International Movies",Netflix
Movie,The Hater,Poland,29-07-2020,2020.0,TV-MA,"Dramas, International Movies, Thrillers",Netflix
Movie,The Speed Cubers,United States,29-07-2020,2020.0,TV-PG,Documentaries,Netflix
Movie,Tread,United States,29-07-2020,2019.0,TV-MA,Documentaries,Netflix
TV Show,Last Chance U,United States,28-07-2020,2020.0,TV-MA,Docuseries,Netflix
Movie,Banana Split,United States,26-07-2020,2020.0,TV-MA,"Comedies, Dramas, Independent Movies",Netflix
TV Show,Shameless (U.S.),United States,26-07-2020,2019.0,TV-MA,"TV Comedies, TV Dramas",Netflix
Movie,Door Ke Darshan,India,25-07-2020,2020.0,TV-14,"Comedies, International Movies",Netflix
Movie,Double World,China,25-07-2020,2020.0,TV-14,"Action & Adventure, International Movies",Netflix
Movie,Project Marathwada,India,25-07-2020,2016.0,TV-MA,"Dramas, Independent Movies, International Movies",Netflix
Movie,Animal Crackers,"China, Spain, South Korea, United States",24-07-2020,2020.0,TV-Y7,"Children & Family Movies, Comedies",Netflix
Movie,Dragons: Rescue Riders: Secrets of the Songwing,United States,24-07-2020,2020.0,TV-Y,"Children & Family Movies, Comedies",Netflix
Movie,Nimbe,Nigeria,24-07-2020,2019.0,TV-MA,"Dramas, International Movies",Netflix
Movie,Offering to the Storm,"Spain, Germany",24-07-2020,2020.0,TV-MA,"International Movies, Thrillers",Netflix
Movie,Romance Doll,Japan,24-07-2020,2020.0,TV-MA,"Dramas, International Movies, Romantic Movies",Netflix
TV Show,Sing On! Spain,Spain,24-07-2020,2020.0,TV-G,"International TV Shows, Reality TV, Spanish-Language TV Shows",Netflix
Movie,The Kissing Booth 2,"United Kingdom, United States",24-07-2020,2020.0,TV-14,"Comedies, Romantic Movies",Netflix
TV Show,Sinatra: All or Nothing at All,United States,23-07-2020,2015.0,TV-14,Docuseries,Netflix
Movie,The Larva Island Movie,South Korea,23-07-2020,2020.0,TV-Y7,"Children & Family Movies, Comedies",Netflix
Movie,The Letter Reader,South Africa,23-07-2020,2019.0,TV-PG,"Dramas, International Movies",Netflix
TV Show,Fear City: New York vs The Mafia,United States,22-07-2020,2020.0,TV-MA,"Crime TV Shows, Docuseries",Netflix
TV Show,Norsemen,Norway,22-07-2020,2020.0,TV-MA,"International TV Shows, TV Comedies",Netflix
Movie,The Remix: Hip Hop X Fashion,United States,22-07-2020,2019.0,TV-MA,"Documentaries, Music & Musicals",Netflix
Movie,Ip Man 4: The Finale,"Hong Kong, China",21-07-2020,2019.0,TV-MA,"Action & Adventure, Dramas, International Movies",Netflix
Movie,Jack Whitehall: I'm Only Joking,United Kingdom,21-07-2020,2020.0,TV-MA,Stand-Up Comedy,Netflix
TV Show,Street Food: Latin America,,21-07-2020,2020.0,TV-PG,"Docuseries, Spanish-Language TV Shows",Netflix
TV Show,Killer Women with Piers Morgan,United Kingdom,19-07-2020,2017.0,TV-MA,"British TV Shows, Crime TV Shows, Docuseries",Netflix
Movie,Funan,"France, Belgium, Luxembourg, Cambodia,",18-07-2020,2018.0,TV-14,"Dramas, International Movies",Netflix
TV Show,Gigantosaurus,France,18-07-2020,2019.0,TV-Y,Kids' TV,Netflix
TV Show,Single Wives,Australia,18-07-2020,2018.0,TV-MA,"Reality TV, Romantic TV Shows",Netflix
TV Show,Cursed,"United Kingdom, Australia",17-07-2020,2020.0,TV-MA,"TV Action & Adventure, TV Dramas, TV Sci-Fi & Fantasy",Netflix
Movie,Father Soldier Son,United States,17-07-2020,2020.0,R,Documentaries,Netflix
TV Show,In The Dark,United States,17-07-2020,2020.0,TV-14,"Crime TV Shows, TV Dramas",Netflix
TV Show,Kissing Game,Brazil,17-07-2020,2020.0,TV-MA,"International TV Shows, TV Dramas, TV Mysteries",Netflix
Movie,The Millions,Nigeria,17-07-2020,2019.0,TV-MA,"Comedies, International Movies",Netflix
Movie,Fatal Affair,United States,16-07-2020,2020.0,TV-14,Thrillers,Netflix
Movie,MILF,"France, Belgium",16-07-2020,2018.0,TV-MA,"Comedies, International Movies, Romantic Movies",Netflix
Movie,Cold Feet,Nigeria,15-07-2020,2019.0,TV-14,"Dramas, International Movies, Romantic Movies",Netflix
TV Show,Dark Desire,Mexico,15-07-2020,2020.0,TV-MA,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",Netflix
Movie,Little Singham: Legend of Dugabakka,,15-07-2020,2020.0,TV-Y7,"Children & Family Movies, Comedies",Netflix
TV Show,Skin Decision: Before and After,United States,15-07-2020,2020.0,TV-MA,"Reality TV, Science & Nature TV",Netflix
TV Show,Sunny Bunnies,Belarus,15-07-2020,2016.0,TV-Y,"British TV Shows, Kids' TV, TV Comedies",Netflix
Movie,Sylvia,Nigeria,15-07-2020,2018.0,TV-14,"Dramas, International Movies, Thrillers",Netflix
Movie,The Players,Italy,15-07-2020,2020.0,TV-MA,"Comedies, International Movies",Netflix
TV Show,The Business of Drugs,United States,14-07-2020,2020.0,TV-MA,Docuseries,Netflix
Movie,Urzila Carlson: Overqualified Loser,Australia,14-07-2020,2020.0,TV-MA,Stand-Up Comedy,Netflix
Movie,We Are One,France,14-07-2020,2020.0,TV-MA,"Documentaries, International Movies, Music & Musicals",Netflix
Movie,Hole in the Wall,South Africa,11-07-2020,2016.0,TV-MA,"Dramas, International Movies",Netflix
TV Show,Dating Around: Brazil,Brazil,10-07-2020,2020.0,TV-14,"International TV Shows, Reality TV, Romantic TV Shows",Netflix
TV Show,Down to Earth with Zac Efron,United States,10-07-2020,2020.0,TV-PG,"Docuseries, Reality TV, Science & Nature TV",Netflix
Movie,Mama's Boy,Egypt,10-07-2020,2018.0,TV-14,"Comedies, International Movies",Netflix
Movie,The Claudia Kishi Club,United States,10-07-2020,2020.0,TV-14,Documentaries,Netflix
TV Show,The Epic Tales of Captain Underpants in Space,United States,10-07-2020,2020.0,TV-Y7,"Kids' TV, TV Action & Adventure, TV Comedies",Netflix
Movie,The Old Guard,United States,10-07-2020,2020.0,R,Action & Adventure,Netflix
TV Show,The Twelve,Belgium,10-07-2020,2019.0,TV-MA,"Crime TV Shows, International TV Shows, TV Dramas",Netflix
Movie,Your Excellency,,10-07-2020,2019.0,TV-G,"Comedies, International Movies",Netflix
TV Show,Japan Sinks: 2020,Japan,09-07-2020,2020.0,TV-MA,"Anime Series, International TV Shows",Netflix
TV Show,The Protector,Turkey,09-07-2020,2020.0,TV-MA,"International TV Shows, Romantic TV Shows, TV Action & Adventure",Netflix
TV Show,Was It Love?,South Korea,09-07-2020,2020.0,TV-14,"International TV Shows, Korean TV Shows, Romantic TV Shows",Netflix
Movie,Born Racer,New Zealand,08-07-2020,2018.0,R,"Documentaries, Sports Movies",Netflix
Movie,Mucho Mucho Amor: The Legend of Walter Mercado,United States,08-07-2020,2020.0,TV-14,"Documentaries, LGBTQ Movies",Netflix
TV Show,Stateless,Australia,08-07-2020,2020.0,TV-MA,"International TV Shows, TV Dramas",Netflix
Movie,The Long Dumb Road,United States,08-07-2020,2018.0,R,"Comedies, Independent Movies",Netflix
Movie,Dr. Seuss' The Lorax,"United States, France",07-07-2020,2012.0,PG,Children & Family Movies,Netflix
Movie,Jim Jefferies: Intolerant,,07-07-2020,2020.0,TV-MA,Stand-Up Comedy,Netflix
Movie,A Kid from Coney Island,"United States, China",06-07-2020,2019.0,TV-MA,"Documentaries, Sports Movies",Netflix
Movie,PNL - Dans la lÃ©gende tour,,06-07-2020,2020.0,TV-MA,"International Movies, Music & Musicals",Netflix
Movie,Aiyyaa,India,05-07-2020,2012.0,TV-14,"Comedies, International Movies, Music & Musicals",Netflix
Movie,Bbuddah Hoga Terra Baap,India,05-07-2020,2011.0,TV-14,"Action & Adventure, Comedies, Dramas",Netflix
Movie,Blood Money,India,05-07-2020,2012.0,TV-14,"Dramas, International Movies, Romantic Movies",Netflix
Movie,Bombay Talkies,India,05-07-2020,2013.0,TV-MA,"Dramas, International Movies",Netflix
Movie,Boss,India,05-07-2020,2013.0,TV-14,"Action & Adventure, Comedies, Dramas",Netflix
Movie,Budhia Singh: Born to Run,India,05-07-2020,2016.0,TV-MA,"Dramas, Independent Movies, International Movies",Netflix
Movie,Chashme Baddoor,India,05-07-2020,2013.0,TV-14,"Comedies, International Movies, Music & Musicals",Netflix
Movie,Dharam Sankat Mein,India,05-07-2020,2015.0,TV-PG,"Comedies, Dramas, International Movies",Netflix
Movie,Drishyam,India,05-07-2020,2015.0,TV-14,"Dramas, International Movies, Thrillers",Netflix
Movie,Gabbar Is Back,India,05-07-2020,2015.0,TV-14,"Action & Adventure, Dramas, International Movies",Netflix
Movie,Gollu Aur Pappu,India,05-07-2020,2014.0,TV-14,"Action & Adventure, Comedies, International Movies",Netflix
TV Show,Hook,Thailand,05-07-2020,2020.0,TV-MA,"International TV Shows, Romantic TV Shows, TV Comedies",Netflix
Movie,Inkaar,India,05-07-2020,2013.0,TV-MA,"Dramas, International Movies, Romantic Movies",Netflix
Movie,Madras CafÃ©,India,05-07-2020,2013.0,TV-14,"Dramas, International Movies, Thrillers",Netflix
Movie,Mary Kom,India,05-07-2020,2014.0,TV-PG,"Dramas, International Movies, Sports Movies",Netflix
Movie,Michael,India,05-07-2020,2011.0,TV-MA,"Dramas, Independent Movies, International Movies",Netflix
Movie,Mumbai Delhi Mumbai,India,05-07-2020,2014.0,TV-MA,"Comedies, International Movies, Romantic Movies",Netflix
Movie,Oh My God,India,05-07-2020,2012.0,TV-PG,"Comedies, Dramas, International Movies",Netflix
Movie,One by Two,India,05-07-2020,2014.0,TV-14,"Comedies, Dramas, International Movies",Netflix
Movie,Only,United States,05-07-2020,2019.0,TV-MA,"Dramas, Independent Movies, Romantic Movies",Netflix
Movie,Penalty,India,05-07-2020,2019.0,TV-14,"Dramas, Independent Movies, International Movies",Netflix
Movie,Players,India,05-07-2020,2012.0,TV-14,"Action & Adventure, International Movies",Netflix
Movie,Pyaar Ka Punchnama 2,India,05-07-2020,2015.0,TV-MA,"Comedies, Dramas, International Movies",Netflix
Movie,Queen,India,05-07-2020,2014.0,TV-MA,"Comedies, Dramas, International Movies",Netflix
Movie,Shaitan,India,05-07-2020,2011.0,TV-MA,"Action & Adventure, Dramas, Independent Movies",Netflix
Movie,Special 26,India,05-07-2020,2013.0,TV-PG,"Dramas, International Movies, Thrillers",Netflix
Movie,Tanu Weds Manu,India,05-07-2020,2011.0,TV-14,"Comedies, Dramas, International Movies",Netflix
Movie,What the Fish,India,05-07-2020,2013.0,TV-14,"Comedies, International Movies",Netflix
TV Show,Little Singham,India,04-07-2020,2020.0,TV-Y7,"Kids' TV, TV Comedies",Netflix
TV Show,Cable Girls,Spain,03-07-2020,2019.0,TV-MA,"International TV Shows, Romantic TV Shows, Spanish-Language TV Shows",Netflix
Movie,Desperados,United States,03-07-2020,2020.0,TV-MA,"Comedies, Romantic Movies",Netflix
Movie,Hunter in the Blue Side of Manchester,"Indonesia, United Kingdom",03-07-2020,2020.0,TV-MA,"Dramas, International Movies",Netflix
Movie,I Am Not Your Negro,"Switzerland, France, Belgium, United States",03-07-2020,2017.0,PG-13,Documentaries,Netflix
TV Show,JU-ON: Origins,Japan,03-07-2020,2020.0,TV-MA,"International TV Shows, TV Horror, TV Mysteries",Netflix
TV Show,Southern Survival,United States,03-07-2020,2020.0,TV-PG,Reality TV,Netflix
TV Show,The Baby-Sitters Club,United States,03-07-2020,2020.0,TV-G,"Kids' TV, TV Dramas",Netflix
Movie,The Perfect Picture: Ten Years Later,Ghana,03-07-2020,2019.0,TV-MA,"Comedies, Dramas, International Movies",Netflix
TV Show,Supermarket Sweep,United States,02-07-2020,1993.0,TV-G,Reality TV,Netflix
Movie,Thiago Ventura: POKAS,Brazil,02-07-2020,2020.0,TV-MA,Stand-Up Comedy,Netflix
TV Show,Warrior Nun,United States,02-07-2020,2020.0,TV-MA,"TV Action & Adventure, TV Mysteries, TV Sci-Fi & Fantasy",Netflix
Movie,#AnneFrank - Parallel Stories,Italy,01-07-2020,2019.0,TV-14,"Documentaries, International Movies",Netflix
TV Show,21 Again,United Kingdom,01-07-2020,2019.0,TV-MA,"British TV Shows, Reality TV",Netflix
TV Show,A Touch of Green,Taiwan,01-07-2020,2016.0,TV-MA,"International TV Shows, TV Dramas",Netflix
TV Show,Abby Hatcher,"United States, Canada",01-07-2020,2019.0,TV-Y,Kids' TV,Netflix
Movie,AdÃº,Spain,01-07-2020,2020.0,TV-MA,"Dramas, International Movies",Netflix
Movie,Ali Baba ve 7 CÃ¼celer,Turkey,01-07-2020,2015.0,TV-MA,"Action & Adventure, Comedies, International Movies",Netflix
Movie,David Foster: Off the Record,Canada,01-07-2020,2019.0,TV-MA,"Documentaries, Music & Musicals",Netflix
Movie,Double Jeopardy,"United States, Germany, Canada",01-07-2020,1999.0,R,Thrillers,Netflix
Movie,Pek YakÄ±nda,Turkey,01-07-2020,2014.0,TV-MA,"Comedies, International Movies",Netflix
TV Show,Say I Do,United States,01-07-2020,2020.0,TV-14,"Reality TV, Romantic TV Shows",Netflix
Movie,Stardust,"United Kingdom, United States",01-07-2020,2007.0,PG-13,"Action & Adventure, International Movies, Romantic Movies",Netflix
Movie,The F**k-It List,United States,01-07-2020,2019.0,TV-MA,Comedies,Netflix
Movie,The Silence of Others,"Spain, France, Canada, United States",01-07-2020,2019.0,TV-14,"Documentaries, International Movies",Netflix
Movie,Total Recall,"United States, Mexico",01-07-2020,1990.0,R,"Action & Adventure, Sci-Fi & Fantasy",Netflix
TV Show,Trotro,France,01-07-2020,2004.0,TV-Y,Kids' TV,Netflix
Movie,Under the Riccione Sun,Italy,01-07-2020,2020.0,TV-MA,"Comedies, International Movies, Romantic Movies",Netflix
TV Show,BNA,Japan,30-06-2020,2020.0,TV-14,"Anime Series, International TV Shows",Netflix
Movie,George Lopez: We'll Do It For Half,United States,30-06-2020,2020.0,TV-MA,Stand-Up Comedy,Netflix
TV Show,Homemade,"Chile, Italy",30-06-2020,2020.0,TV-MA,"International TV Shows, TV Dramas",Netflix
Movie,The Mirror Boy,"United Kingdom, Nigeria",30-06-2020,2011.0,TV-14,"Action & Adventure, Dramas, International Movies",Netflix
Movie,#FriendButMarried 2,Indonesia,28-06-2020,2020.0,TV-G,"Dramas, International Movies, Romantic Movies",Netflix
Movie,Skin,Nigeria,28-06-2020,2019.0,TV-MA,"Documentaries, International Movies",Netflix
Movie,Thackeray (Marathi),,28-06-2020,2019.0,TV-14,"Dramas, International Movies",Netflix
TV Show,Dark,"Germany, United States",27-06-2020,2020.0,TV-MA,"Crime TV Shows, International TV Shows, TV Dramas",Netflix
Movie,Ride Like a Girl,Australia,27-06-2020,2020.0,PG,"Children & Family Movies, Dramas, Independent Movies",Netflix
TV Show,All For Love,Colombia,26-06-2020,2020.0,TV-MA,"International TV Shows, Romantic TV Shows, Spanish-Language TV Shows",Netflix
Movie,Eurovision Song Contest: The Story of Fire Saga,United States,26-06-2020,2020.0,PG-13,"Comedies, Music & Musicals, Romantic Movies",Netflix
TV Show,Home Game,United States,26-06-2020,2020.0,TV-MA,Docuseries,Netflix
Movie,Kasanova,Nigeria,26-06-2020,2019.0,TV-14,"Comedies, International Movies, Romantic Movies",Netflix
Movie,Ordinary People,Philippines,26-06-2020,2016.0,TV-MA,"Dramas, Independent Movies, International Movies",Netflix
Movie,Seven (Tamil),India,26-06-2020,2019.0,TV-MA,"Dramas, International Movies, Romantic Movies",Netflix
Movie,Seven (Telugu),,26-06-2020,2019.0,TV-14,"Dramas, International Movies, Romantic Movies",Netflix
Movie,Thackeray (Hindi),India,26-06-2020,2019.0,TV-14,"Dramas, International Movies",Netflix
TV Show,Twogether,South Korea,26-06-2020,2020.0,TV-G,"International TV Shows, Korean TV Shows, Reality TV",Netflix
Movie,Krishna and His Leela,India,25-06-2020,2020.0,TV-MA,"International Movies, Romantic Movies",Netflix
Movie,Prem Ratan Dhan Payo,India,25-06-2020,2015.0,TV-14,"Action & Adventure, Dramas, International Movies",Netflix
Movie,Vivah,India,25-06-2020,2006.0,TV-14,"Dramas, International Movies, Romantic Movies",Netflix
Movie,Athlete A,United States,24-06-2020,2020.0,PG-13,"Documentaries, Sports Movies",Netflix
Movie,Bulbbul,India,24-06-2020,2020.0,TV-MA,"Horror Movies, International Movies",Netflix
TV Show,Crazy Delicious,United Kingdom,24-06-2020,2020.0,TV-PG,"British TV Shows, International TV Shows, Reality TV",Netflix
Movie,Nobody Knows I'm Here,Chile,24-06-2020,2020.0,TV-MA,"Dramas, Independent Movies, International Movies",Netflix
Movie,Eric Andre: Legalize Everything,United States,23-06-2020,2020.0,TV-MA,Stand-Up Comedy,Netflix
TV Show,"Roswell, New Mexico",United States,23-06-2020,2020.0,TV-14,"Classic & Cult TV, TV Dramas, TV Sci-Fi & Fantasy",Netflix
Movie,Kappela,India,22-06-2020,2020.0,TV-14,"Dramas, Independent Movies, International Movies",Netflix
Movie,The Royal Hibiscus Hotel,Nigeria,22-06-2020,2017.0,TV-PG,"Comedies, International Movies, Romantic Movies",Netflix
TV Show,It's Okay to Not Be Okay,South Korea,21-06-2020,2020.0,TV-MA,"International TV Shows, Korean TV Shows, Romantic TV Shows",Netflix
Movie,Woodshock,United States,21-06-2020,2017.0,R,"Dramas, Independent Movies, Thrillers",Netflix
Movie,Elevator Baby,Nigeria,20-06-2020,2019.0,TV-MA,"Dramas, International Movies",Netflix
TV Show,Babies,United States,19-06-2020,2020.0,TV-14,"Docuseries, Science & Nature TV",Netflix
Movie,Chaman Bahaar,India,19-06-2020,2020.0,TV-MA,"Comedies, Dramas, International Movies",Netflix
Movie,Destiny,"France, Egypt",19-06-2020,1997.0,TV-14,"Dramas, International Movies",Netflix
Movie,Disclosure,United States,19-06-2020,2020.0,TV-MA,"Documentaries, LGBTQ Movies",Netflix
Movie,Feel the Beat,United States,19-06-2020,2020.0,TV-G,"Children & Family Movies, Comedies, Dramas",Netflix
TV Show,Floor Is Lava,United States,19-06-2020,2020.0,TV-PG,Reality TV,Netflix
Movie,Lost Bullet,France,19-06-2020,2020.0,TV-MA,"Action & Adventure, Dramas, International Movies",Netflix
TV Show,Most Beautiful Thing,Brazil,19-06-2020,2020.0,TV-MA,"International TV Shows, Romantic TV Shows, TV Dramas",Netflix
Movie,One-Way to Tomorrow,Turkey,19-06-2020,2020.0,TV-MA,"Dramas, International Movies, Romantic Movies",Netflix
Movie,The Emigrant,"Egypt, France",19-06-2020,1994.0,TV-14,"Dramas, International Movies",Netflix
TV Show,The Politician,United States,19-06-2020,2020.0,TV-MA,"TV Comedies, TV Dramas, Teen TV Shows",Netflix
Movie,Wasp Network,"France, Brazil, Spain, Belgium",19-06-2020,2020.0,TV-MA,"Dramas, International Movies, Thrillers",Netflix
Movie,A Whisker Away,Japan,18-06-2020,2020.0,TV-PG,"Anime Features, Children & Family Movies, International Movies",Netflix
Movie,Alexandria ... Why?,"Egypt, Algeria",18-06-2020,1979.0,TV-MA,"Classic Movies, Dramas, International Movies",Netflix
Movie,Alexandria: Again and Forever,"France, Egypt",18-06-2020,1989.0,TV-MA,"Classic Movies, Dramas, International Movies",Netflix
Movie,An Egyptian Story,Egypt,18-06-2020,1982.0,TV-MA,"Classic Movies, Dramas, Independent Movies",Netflix
Movie,Cairo Station,Egypt,18-06-2020,1958.0,TV-14,"Classic Movies, Dramas, International Movies",Netflix
Movie,Dark Waters,Egypt,18-06-2020,1956.0,TV-14,"Classic Movies, Dramas, International Movies",Netflix
Movie,El lÃ­mite infinito,,18-06-2020,2020.0,TV-PG,"Documentaries, International Movies, Sports Movies",Netflix
Movie,Lola Igna,Philippines,18-06-2020,2019.0,TV-14,"Comedies, International Movies",Netflix
Movie,One Take,Thailand,18-06-2020,2020.0,TV-G,"Documentaries, International Movies, Music & Musicals",Netflix
Movie,Saladin,Egypt,18-06-2020,1963.0,TV-MA,"Action & Adventure, Classic Movies, Dramas",Netflix
Movie,Stray Bullet,Lebanon,18-06-2020,2010.0,TV-MA,"Dramas, International Movies, Romantic Movies",Netflix
Movie,The Blazing Sun,Egypt,18-06-2020,1954.0,TV-14,"Classic Movies, Dramas, International Movies",Netflix
Movie,The Land,Egypt,18-06-2020,1970.0,TV-MA,"Classic Movies, Dramas, International Movies",Netflix
Movie,The Nut Job,"Canada, South Korea, United States",18-06-2020,2014.0,PG,"Children & Family Movies, Comedies",Netflix
TV Show,The Order,United States,18-06-2020,2020.0,TV-MA,"International TV Shows, TV Dramas, TV Horror",Netflix
Movie,An Evening with Beverly Luff Linn,"United Kingdom, United States",17-06-2020,2018.0,R,"Comedies, Independent Movies",Netflix
Movie,Riding Faith,United States,17-06-2020,2020.0,TV-PG,"Children & Family Movies, Dramas, Faith & Spirituality",Netflix
Movie,Last Flight to Abuja,"Nigeria, United Kingdom",16-06-2020,2012.0,TV-14,"Dramas, International Movies",Netflix
Movie,The Darkness,United States,16-06-2020,2016.0,PG-13,"Horror Movies, Thrillers",Netflix
TV Show,The Chase,United States,15-06-2020,2015.0,TV-PG,Reality TV,Netflix
Movie,The Show Must Go On: The Queen + Adam Lambert Story,"United Kingdom, United States",15-06-2020,2019.0,TV-MA,"Documentaries, Music & Musicals",Netflix
Movie,Underdogs,"Argentina, Spain",15-06-2020,2013.0,PG,"Children & Family Movies, Sports Movies",Netflix
Movie,Wira,Malaysia,15-06-2020,2019.0,TV-14,"Action & Adventure, Dramas, International Movies",Netflix
Movie,4th Republic,Nigeria,13-06-2020,2019.0,TV-MA,"Dramas, International Movies, Thrillers",Netflix
TV Show,Alexa & Katie,United States,13-06-2020,2020.0,TV-G,"Kids' TV, TV Comedies",Netflix
Movie,Asura Guru,India,13-06-2020,2020.0,TV-14,"Dramas, International Movies",Netflix
TV Show,How to Get Away with Murder,United States,13-06-2020,2020.0,TV-14,"Crime TV Shows, TV Dramas, TV Mysteries",Netflix
Movie,Milea,Indonesia,13-06-2020,2020.0,TV-14,"Dramas, International Movies, Romantic Movies",Netflix
Movie,Axone,India,12-06-2020,2020.0,TV-MA,"Comedies, Dramas, Independent Movies",Netflix
Movie,Da 5 Bloods,United States,12-06-2020,2020.0,R,"Action & Adventure, Dramas",Netflix
TV Show,Dating Around,,12-06-2020,2020.0,TV-MA,"Reality TV, Romantic TV Shows",Netflix
TV Show,F is for Family,"United States, France, Canada",12-06-2020,2020.0,TV-MA,TV Comedies,Netflix
TV Show,Frank Elstner: Just One Last Question,Germany,12-06-2020,2020.0,TV-MA,"International TV Shows, Stand-Up Comedy & Talk Shows",Netflix
Movie,Jo Koy: In His Elements,United States,12-06-2020,2020.0,TV-MA,Stand-Up Comedy,Netflix
Movie,Okko's Inn,Japan,12-06-2020,2018.0,PG,"Anime Features, Children & Family Movies",Netflix
TV Show,ONE PIECE,Japan,12-06-2020,2002.0,TV-14,Anime Series,Netflix
TV Show,The Search,Mexico,12-06-2020,2020.0,TV-MA,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",Netflix
TV Show,The Woods,"Poland, United States",12-06-2020,2020.0,TV-MA,"Crime TV Shows, International TV Shows, TV Dramas",Netflix
Movie,From A to B,"United Arab Emirates, Jordan, Lebanon, Saudi Arabia",11-06-2020,2014.0,TV-MA,"Comedies, Dramas, International Movies",Netflix
Movie,Menahi,Saudi Arabia,11-06-2020,2008.0,TV-14,"Comedies, International Movies",Netflix
TV Show,Curon,Italy,10-06-2020,2020.0,TV-MA,"International TV Shows, TV Dramas, TV Horror",Netflix
TV Show,DC's Legends of Tomorrow,United States,10-06-2020,2020.0,TV-14,"TV Action & Adventure, TV Sci-Fi & Fantasy",Netflix
TV Show,Lenox Hill,United States,10-06-2020,2020.0,TV-MA,"Docuseries, Reality TV, Science & Nature TV",Netflix
Movie,Middle Men,United States,10-06-2020,2009.0,R,"Comedies, Dramas, Independent Movies",Netflix
TV Show,My Mister,South Korea,10-06-2020,2018.0,TV-MA,"Crime TV Shows, International TV Shows, Korean TV Shows",Netflix
TV Show,Reality Z,Brazil,10-06-2020,2020.0,TV-MA,"International TV Shows, TV Horror, TV Mysteries",Netflix
Movie,The Witch: Part 1 - The Subversion,South Korea,10-06-2020,2018.0,TV-MA,"Action & Adventure, International Movies, Sci-Fi & Fantasy",Netflix
Movie,Before I Fall,United States,08-06-2020,2017.0,PG-13,"Dramas, Romantic Movies",Netflix
Movie,365 Days,Poland,07-06-2020,2020.0,TV-MA,"Dramas, International Movies, Romantic Movies",Netflix
Movie,Forensic,India,07-06-2020,2020.0,TV-14,"International Movies, Thrillers",Netflix
Movie,Project Papa,India,07-06-2020,2018.0,TV-14,"Dramas, Independent Movies, International Movies",Netflix
TV Show,Queen of the South,"United States, Mexico, Spain, Malta",06-06-2020,2018.0,TV-MA,"Crime TV Shows, TV Action & Adventure, TV Dramas",Netflix
Movie,The Night Clerk,United States,06-06-2020,2020.0,R,"Dramas, Independent Movies",Netflix
TV Show,13 Reasons Why,United States,05-06-2020,2020.0,TV-MA,"Crime TV Shows, TV Dramas, TV Mysteries",Netflix
Movie,Before the Summer Crowds,Egypt,05-06-2020,2016.0,TV-14,"Dramas, International Movies",Netflix
Movie,Big Stone Gap,United States,05-06-2020,2014.0,PG-13,"Comedies, Romantic Movies",Netflix
Movie,Choked: Paisa Bolta Hai,India,05-06-2020,2020.0,TV-14,"Dramas, International Movies",Netflix
Movie,Merry Men 2: Another Mission,Nigeria,05-06-2020,2019.0,TV-MA,"Comedies, International Movies",Netflix
TV Show,Queer Eye,United States,05-06-2020,2020.0,TV-14,Reality TV,Netflix
TV Show,Supernatural,"United States, Canada",05-06-2020,2019.0,TV-14,"Classic & Cult TV, TV Action & Adventure, TV Horror",Netflix
Movie,The Last Days of American Crime,United States,05-06-2020,2020.0,TV-MA,"Action & Adventure, Dramas, Independent Movies",Netflix
Movie,The Light of My Eyes,,05-06-2020,2010.0,TV-MA,"Dramas, International Movies, Romantic Movies",Netflix
TV Show,BAKI,Japan,04-06-2020,2020.0,TV-MA,"Anime Series, International TV Shows",Netflix
Movie,Hot Sweet Sour,Turkey,04-06-2020,2017.0,TV-14,"Dramas, International Movies, Romantic Movies",Netflix
Movie,Overnight Republic,Turkey,04-06-2020,2017.0,TV-MA,"Comedies, International Movies",Netflix
Movie,Canât Complain,Egypt,03-06-2020,2007.0,TV-MA,"Comedies, International Movies, Romantic Movies",Netflix
Movie,Lady Bird,United States,03-06-2020,2017.0,R,"Comedies, Dramas, Independent Movies",Netflix
Movie,Spelling the Dream,United States,03-06-2020,2020.0,TV-G,"Children & Family Movies, Documentaries",Netflix
TV Show,Alone,,02-06-2020,2019.0,TV-14,Reality TV,Netflix
Movie,Andaleeb El Dokki,Egypt,02-06-2020,2008.0,TV-14,"Comedies, International Movies",Netflix
Movie,Let's Dance,Egypt,02-06-2020,2006.0,TV-14,"Comedies, Dramas, International Movies",Netflix
Movie,Life's Speed Bump,Egypt,02-06-2020,2006.0,TV-14,"Comedies, International Movies",Netflix
Movie,Mr. Romantic,,02-06-2020,2009.0,TV-14,"Comedies, International Movies, Romantic Movies",Netflix
Movie,My Horrible Grandma,Egypt,02-06-2020,2012.0,TV-MA,"Comedies, Dramas, International Movies",Netflix
Movie,Sorry To Disturb,Egypt,02-06-2020,2008.0,TV-14,"Dramas, International Movies",Netflix
