type,title,country,date_added,release_year,rating,listed_in,Platform
TV Show,Pororo - The Little Penguin,South Korea,02-09-2021,2013.0,TV-Y7,"Kids' TV, Korean TV Shows",Netflix
TV Show,Q-Force,United States,02-09-2021,2021.0,TV-MA,"Crime TV Shows, TV Action & Adventure, TV Comedies",Netflix
Movie,Shikara,India,02-09-2021,2020.0,TV-14,"Dramas, International Movies, Romantic Movies",Netflix
Movie,A Cinderella Story,"United States, Canada",01-09-2021,2004.0,PG,"Children & Family Movies, Comedies",Netflix
Movie,Agatha Christie's Crooked House,,01-09-2021,2017.0,PG-13,"Dramas, International Movies, Thrillers",Netflix
Movie,An Unfinished Life,"Germany, United States",01-09-2021,2005.0,PG-13,Dramas,Netflix
Movie,Barbie Big City Big Dreams,,01-09-2021,2021.0,TV-Y,"Children & Family Movies, Music & Musicals",Netflix
Movie,Blade Runner: The Final Cut,United States,01-09-2021,1982.0,R,"Action & Adventure, Classic Movies, Cult Movies",Netflix
TV Show,Brave Animated Series,,01-09-2021,2021.0,TV-MA,"International TV Shows, TV Action & Adventure, TV Comedies",Netflix
Movie,Chappie,"South Africa, United States",01-09-2021,2015.0,R,"Action & Adventure, Sci-Fi & Fantasy",Netflix
Movie,Clear and Present Danger,"United States, Mexico",01-09-2021,1994.0,PG-13,"Action & Adventure, Dramas",Netflix
Movie,Cliffhanger,"United States, Italy, France, Japan",01-09-2021,1993.0,R,Action & Adventure,Netflix
Movie,Cold Mountain,"United States, Italy, Romania, United Kingdom",01-09-2021,2003.0,R,"Dramas, Romantic Movies",Netflix
Movie,Crocodile Dundee in Los Angeles,"Australia, United States",01-09-2021,2001.0,PG,"Action & Adventure, Comedies",Netflix
Movie,Dear John,United States,01-09-2021,2010.0,PG-13,"Dramas, Romantic Movies",Netflix
Movie,Do the Right Thing,United States,01-09-2021,1989.0,R,"Classic Movies, Comedies, Dramas",Netflix
Movie,"El patrÃ³n, radiografÃ­a de un crimen","Argentina, Venezuela",01-09-2021,2014.0,TV-MA,"Dramas, International Movies, Thrillers",Netflix
Movie,Extraction,"United States, United Kingdom, Canada",01-09-2021,2015.0,R,Action & Adventure,Netflix
Movie,Freedom Writers,"Germany, United States",01-09-2021,2007.0,PG-13,Dramas,Netflix
Movie,Green Lantern,United States,01-09-2021,2011.0,PG-13,"Action & Adventure, Sci-Fi & Fantasy",Netflix
Movie,House Party,United States,01-09-2021,1990.0,R,"Comedies, Cult Movies",Netflix
Movie,House Party 2,United States,01-09-2021,1991.0,R,"Comedies, Cult Movies, Music & Musicals",Netflix
Movie,House Party 3,United States,01-09-2021,1994.0,R,"Comedies, Music & Musicals",Netflix
TV Show,How to Be a Cowboy,,01-09-2021,2021.0,TV-PG,Reality TV,Netflix
TV Show,HQ Barbers,,01-09-2021,2020.0,TV-14,TV Shows,Netflix
Movie,I Got the Hook Up,United States,01-09-2021,1998.0,R,"Action & Adventure, Comedies",Netflix
Movie,In Too Deep,United States,01-09-2021,1999.0,R,Thrillers,Netflix
Movie,Initial D,"China, Hong Kong",01-09-2021,2005.0,TV-14,"Action & Adventure, International Movies",Netflix
Movie,Janoskians: Untold and Untrue,United States,01-09-2021,2016.0,TV-MA,Comedies,Netflix
TV Show,Kid-E-Cats,Russia,01-09-2021,2016.0,TV-Y,Kids' TV,Netflix
TV Show,Kuroko's Basketball,Japan,01-09-2021,2015.0,TV-MA,"Anime Series, International TV Shows, Teen TV Shows",Netflix
Movie,Labyrinth,"United Kingdom, United States",01-09-2021,1986.0,PG,"Action & Adventure, Children & Family Movies, Cult Movies",Netflix
Movie,Letters to Juliet,United States,01-09-2021,2010.0,PG,"Comedies, Dramas, Romantic Movies",Netflix
Movie,Level 16,Canada,01-09-2021,2018.0,TV-14,"Sci-Fi & Fantasy, Thrillers",Netflix
Movie,Love Don't Cost a Thing,United States,01-09-2021,2003.0,PG-13,"Comedies, Romantic Movies",Netflix
Movie,Love in a Puff,Hong Kong,01-09-2021,2010.0,TV-MA,"Comedies, Dramas, International Movies",Netflix
TV Show,Major Dad,United States,01-09-2021,1992.0,TV-PG,TV Comedies,Netflix
Movie,Mars Attacks!,United States,01-09-2021,1996.0,PG-13,"Comedies, Cult Movies, Sci-Fi & Fantasy",Netflix
Movie,Marshall,"United States, China, Hong Kong",01-09-2021,2017.0,PG-13,Dramas,Netflix
Movie,My Boss's Daughter,United States,01-09-2021,2003.0,R,"Comedies, Romantic Movies",Netflix
Movie,Mystery Men,United States,01-09-2021,1999.0,PG-13,"Action & Adventure, Comedies",Netflix
