ID,ReleaseDate,Rank,Movie,Distributor,Genre,Gross,Tickets Sold
107,17-11-2017,11,Justice League,Warner Bros.,Action,225546295,25144514
108,02-10-2015,9,The Martian,20th Century Fox,Adventure,225345353,26731359
109,03-09-2021,2,Shang-Chi and the Legend of of Ten Rings,Walt Disney,Action,224543292,22078986
110,18-11-2016,11,Fantastic Beasts and Where To Find Them,Warner Bros.,Adventure,222675573,25742841
111,17-12-2014,8,The Hobbit: The Battle of t…,Warner Bros.,Adventure,220602017,27001470
112,27-07-2018,8,Mission: Impossible—Fallout,Paramount Pictures,Action,220159104,24166751
113,29-06-2012,9,Ted,Universal,Comedy,218665740,27470570
114,26-03-2010,10,How to Train Your Dragon,Paramount Pictures,Adventure,217581231,27576835
115,06-07-2018,9,Ant-Man and the Wasp,Walt Disney,Action,216648740,23781420
116,08-06-2012,10,Madagascar 3: Europe's Most Wanted,Paramount Pictures,Adventure,216391482,27184859
117,17-02-2023,8,Ant-Man and the Wasp: Quantumania,Walt Disney,Action,214504909,19898415
118,02-03-2012,11,Dr. Seuss' The Lorax,Universal,Adventure,214030500,26888253
119,25-05-2018,10,Solo: A Star Wars Story,Walt Disney,Adventure,213767512,23465149
120,05-10-2018,11,Venom,Sony Pictures,Action,213429141,23428006
121,01-10-2021,3,Venom: Let There be Carnage,Sony Pictures,Action,212609036,20905510
122,06-09-2019,10,It: Chapter Two,Warner Bros.,Horror,211593228,23099697
123,07-11-2014,9,Big Hero 6,Walt Disney,Adventure,211207036,25851534
124,23-11-2016,12,Moana,Walt Disney,Adventure,210046114,24282787
125,29-04-2011,6,Fast Five,Universal,Action,210031325,26485665
126,11-07-2014,10,Dawn of the Planet of the Apes,20th Century Fox,Adventure,208545589,25525775
127,17-01-2020,1,Bad Boys For Life,Sony Pictures,Action,204417855,22267740
128,08-11-2013,12,Thor: The Dark World,Walt Disney,Action,203449204,25024502
129,02-05-2014,11,The Amazing Spider-Man 2,Sony Pictures,Action,202853933,24829122
130,21-06-2013,13,World War Z,Paramount Pictures,Action,202359711,24890493
131,05-10-2018,12,A Star is Born,Warner Bros.,Drama,201157885,22080997
132,13-03-2015,10,Cinderella,Walt Disney,Drama,201151353,23861370
133,16-05-2014,12,Godzilla,Warner Bros.,Action,200676069,24562554
134,21-12-2018,13,Aquaman,Warner Bros.,Action,199059824,21850694
135,06-11-2015,11,Spectre,Sony Pictures,Action,197102585,23381090
136,29-03-2024,7,Godzilla x Kong: The New Empire,Warner Bros.,Action,196350016,18214287
137,31-07-2015,12,Mission: Impossible—Rogue Nation,Paramount Pictures,Action,195042377,23136699
138,18-12-2015,13,Star Wars Ep. VII: The Force Awakens,Walt Disney,Adventure,194453283,22480148
139,08-03-2024,8,Kung Fu Panda 4,Universal,Comedy,193590620,17958313
140,07-06-2024,9,Bad Boys: Ride or Die,Sony Pictures,Action,193573217,17956699
141,13-12-2019,11,Jumanji: The Next Level,Sony Pictures,Adventure,192094536,20971019
142,13-06-2014,13,22 Jump Street,Sony Pictures,Comedy,191719337,23466259
143,24-06-2011,7,Cars 2,Walt Disney,Adventure,191450875,24142607
144,08-08-2014,14,Teenage Mutant Ninja Turtles,Paramount Pictures,Adventure,191204754,23403274
145,08-04-2022,10,Sonic the Hedgehog 2,Paramount Pictures,Adventure,190872904,18126582
146,02-11-2018,14,Bohemian Rhapsody,20th Century Fox,Drama,189813133,20835690
147,21-07-2017,12,Dunkirk,Warner Bros.,Action,188373161,21000352
148,06-04-2018,15,A Quiet Place,Paramount Pictures,Horror,188024361,20639337
149,22-03-2013,14,The Croods,20th Century Fox,Adventure,187168425,23021946
150,21-11-2018,16,Ralph Breaks The Internet,Walt Disney,Adventure,187152693,20543654
151,24-03-2023,9,John Wick: Chapter 4,Lionsgate,Action,187131806,17359165
152,15-05-2015,13,Pitch Perfect 2,Universal,Comedy,184296230,21861949
153,04-07-2023,10,Sound of Freedom,Angel Studios,Thriller/Suspense,184178046,17085161
154,09-07-2021,4,Black Widow,Walt Disney,Action,183651655,18058176
155,07-11-2014,15,Interstellar,Paramount Pictures,Adventure,182802094,22374797
156,25-12-2015,14,The Revenant,20th Century Fox,Adventure,182765375,21128945
